utterance_id,emotion,transcript
Ses01F_script02_1_F000,neu,Fine.
Ses01F_script02_1_F004,neu,That's not your flashlight.
Ses01F_script02_1_F006,ang,You keep saying my flashlight like it's just yours.
Ses01F_script02_1_F007,ang,How's that supposed to make me feel?
Ses01F_script02_1_F008,neu,Yeah.
Ses01F_script02_1_F009,hap,[LAUGHTER]
Ses01F_script02_1_F010,sad,I'm cold.
Ses01F_script02_1_F015,neu,Not particularly.
Ses01F_script02_1_F024,neu,That's the wind.
Ses01F_script02_1_F025,neu,About what?
Ses01F_script02_1_M007,neu,"The flashlight, the silver one.  There's only one, isn't there?"
Ses01F_script02_1_M008,neu,Whose is it?
Ses01F_script02_1_M009,neu,"Oh...well. Yeah, of course."
Ses01F_script02_1_M010,neu,No.
Ses01F_script02_1_M011,neu,"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight."
Ses01F_script02_1_M013,neu,Do they always run during a full moon?  I don't remember.  Was it full last year?
Ses01F_script02_1_M014,neu,"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket."
Ses01F_script02_1_M015,neu,"Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?"
Ses01F_script02_1_M020,neu,Right.
Ses01F_script02_1_M021,neu,"Wait, that's my point, too."
Ses01F_script02_1_M023,neu,Why not?
Ses01F_script02_1_M024,neu,"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up."
Ses01F_script02_1_M025,neu,Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.
Ses01F_script02_1_M026,neu,This is a big night for these little guys.  It's like life's last orgy.
Ses01F_script02_1_M029,neu,"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested."
Ses01F_script02_1_M031,neu,"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?"
Ses01F_script02_1_M032,neu,"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car."
Ses01F_script02_1_M033,neu,Ahh...we weren't in a good spot.
Ses01F_script02_1_M034,neu,"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things."
Ses01F_script02_1_M036,hap,"God, this is great.  Think about this.  I know you are not interested, but just think about this."
Ses01F_script02_1_M043,hap,So what do you think?
Ses01F_script02_1_M044,hap,"About all of that, about all I was talking about."
Ses01M_impro06_F000,neu,You okay?
Ses01M_impro06_F001,neu,What's happened?
Ses01M_impro06_F002,neu,You don't have to if you don't want to.
Ses01M_impro06_F003,sad,I'm sorry to hear that.
Ses01M_impro06_F004,sad,You've been taking care of it all?
Ses01M_impro06_F005,sad,Oh Jesus.
Ses01M_impro06_F006,sad,He sick for awhile?
Ses01M_impro06_F007,neu,Was it an accident?
Ses01M_impro06_F008,neu,how was sick?
Ses01M_impro06_F009,neu,"Well, I'm confused.  He was sick or it was an accident?"
Ses01M_impro06_F010,neu,Oh. Really fast? Oh.
Ses01M_impro06_F011,neu,Yeah.
Ses01M_impro06_F012,neu,Yeah.
Ses01M_impro06_F013,neu,"Totally, yeah."
Ses01M_impro06_F014,neu,Mmhmm.
Ses01M_impro06_F015,neu,Lock
Ses01M_impro06_F016,neu,Mmhmm.
Ses01M_impro06_F017,neu,The plans you make [GARBAGE].
Ses01M_impro06_F018,neu,It leaves a hole for you too.
Ses01M_impro06_F019,neu,"It leaves a hole for you too, in your plans together."
Ses01M_impro06_F020,neu,It gets better.
Ses01M_impro06_F021,neu,Mmhmm.
Ses01M_impro06_F022,neu,MMhmm.
Ses01M_impro06_F023,neu,Mmhmm.
Ses01M_impro06_F024,neu,How long did you know each other?
Ses01M_impro06_F025,neu,That's a long time.
Ses01M_impro06_F026,neu,It's good that you were there.
Ses01M_impro06_F027,neu,Yeah.
Ses01M_impro06_F028,neu,Are there things you wish you'd done differently?
Ses01M_impro06_M000,sad,"Yeah, I'm just-- yeah"
Ses01M_impro06_M001,sad,"Just kind of feel numb, you know."
Ses01M_impro06_M002,sad,You didn't even hear?
Ses01M_impro06_M003,sad,[BREATHING] Umm.
Ses01M_impro06_M004,sad,God I've told this story so many times. Umm.
Ses01M_impro06_M005,sad,I just...I just basically lost someone that was really close to me.
Ses01M_impro06_M006,sad,"And I've kind of been dealing with all of the...the stuff, you know the hospital and people work because..."
Ses01M_impro06_M007,sad,"He kind of didn't have anyone to take care of that for him, so--"
Ses01M_impro06_M008,sad,It's just really...really messed up.
Ses01M_impro06_M009,sad,No.
Ses01M_impro06_M010,sad,Just like it.
Ses01M_impro06_M011,sad,"No, I mean it just came on really quick, you know I mean it was a [GARBAGE] it was a sickness but it just --"
Ses01M_impro06_M012,sad,What?
Ses01M_impro06_M013,sad,"He was sick. He got sick. He got sick but it happened really, really fast, you know."
Ses01M_impro06_M014,sad,It was kind of like boom... done
Ses01M_impro06_M015,sad,It's just really weird because he was really young you know and it kind of like...
Ses01M_impro06_M016,sad,--it just kind of freaks you out.
Ses01M_impro06_M017,sad,So weird you know that like one days it's like you know sounds so stupid but like one day someone's here. And like next day you know they're not here and it just kind of makes you like think about like life and mortality and like that kind of stuff.  You just like used to take for granted--you know.
Ses01M_impro06_M018,sad,"Exactly, you know, and like he had so many plans and he was going to do..."
Ses01M_impro06_M019,sad,"so many things, you know?"
Ses01M_impro06_M020,sad,What?
Ses01M_impro06_M021,sad,Yeah.
Ses01M_impro06_M022,sad,"He was a really, really good guy."
