,text,audio,combined
157,0,0,0
4247,0,0,1
1020,1,1,1
1119,0,0,0
731,0,0,0
1237,0,1,1
2154,1,0,1
2988,0,1,1
3116,1,0,0
2437,0,1,1
798,1,1,1
3360,1,1,1
438,1,1,1
457,0,1,0
3142,0,0,0
4048,1,0,0
1835,1,1,1
602,0,0,0
2310,1,1,1
1345,0,0,0
2963,0,1,1
287,0,1,1
3422,0,1,0
1323,1,1,1
3679,1,1,1
1231,1,1,1
1588,1,1,1
3347,0,1,1
1615,0,0,1
4423,0,1,0
915,1,1,1
1001,1,1,1
1533,1,1,1
429,1,0,1
718,1,1,1
833,0,1,1
1123,0,1,1
1632,0,1,1
810,1,1,1
1113,1,1,1
2339,1,1,1
693,0,0,0
297,1,0,1
2638,0,0,0
2610,1,0,0
2668,0,1,1
505,0,0,1
2640,1,0,0
2575,1,1,1
1670,1,1,1
1344,0,0,0
2707,0,1,0
4063,1,1,1
1242,1,1,1
1102,0,1,1
3155,1,1,1
3158,1,1,1
23,1,0,0
151,0,0,0
2829,0,1,1
1116,0,1,1
199,0,0,0
862,0,0,0
680,0,1,1
4127,0,0,0
2307,1,1,1
3383,0,1,1
2215,0,0,1
1074,1,0,1
584,1,0,1
2754,0,1,1
2792,1,1,1
1918,0,1,0
1412,1,1,1
2207,1,0,0
1618,1,0,0
478,0,0,1
2345,1,1,1
1602,1,1,1
2057,1,0,1
2973,1,1,1
3964,0,1,1
677,0,1,1
1448,1,1,1
4025,0,0,0
2323,1,0,0
2926,0,1,1
3707,1,0,1
2985,1,1,1
3945,0,0,0
2124,1,0,0
3656,1,1,1
4123,1,1,1
2757,0,0,0
1675,0,0,0
1204,1,0,0
3105,1,0,1
2202,0,0,1
3364,1,1,1
2475,0,1,1
1207,1,0,0
4102,1,1,1
3380,1,1,1
561,0,1,0
1378,0,0,0
2542,0,0,0
4032,1,1,1
3113,1,1,1
1564,0,0,0
544,0,0,0
1510,0,0,0
3900,1,1,1
3631,0,0,0
1760,0,0,0
1921,0,0,0
2277,0,0,0
3199,1,1,1
2908,0,0,0
3427,1,1,1
414,0,1,0
3414,1,1,1
2819,0,0,0
2515,1,1,1
416,0,1,1
2843,0,1,1
51,1,1,1
2886,0,1,1
1212,1,0,0
3734,1,1,1
1746,1,0,0
1024,0,1,1
298,0,0,1
1018,1,1,1
3193,1,0,1
4420,1,0,0
3050,1,0,0
2083,1,1,1
4369,1,1,1
3161,1,1,1
4328,0,1,0
2223,1,1,1
2024,0,1,1
132,1,0,1
1923,0,0,0
3350,1,1,1
4408,1,1,1
1782,1,0,0
871,1,0,1
3239,0,0,0
